LWAGE,EXP,EXP2,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,M,F_EDC
6.36647,11,121,43,1,1,1,0,1,0,0,12,0,1,0
6.90776,34,1156,46,1,1,0,1,1,0,1,12,0,1,0
7.37776,13,169,50,0,0,0,0,1,0,0,17,0,1,0
6.88551,14,196,49,0,0,0,1,0,1,0,14,0,0,14
6.62007,20,400,38,0,0,1,1,0,1,0,16,0,0,16
6.77194,16,256,44,1,1,0,0,1,0,1,12,0,1,0
7.02909,21,441,50,1,0,0,1,1,0,0,10,0,1,0
7.18917,9,81,38,0,0,0,1,1,0,1,17,0,1,0
7.06902,9,81,48,1,0,0,0,1,0,1,13,0,1,0
6.86693,10,100,47,1,1,1,1,0,0,1,12,0,1,0
7.6256,33,1089,48,0,0,0,1,1,0,0,17,0,1,0
6.55108,36,1296,36,0,0,1,0,1,0,0,17,0,1,0
6.82979,18,324,47,1,0,0,1,1,0,1,12,0,1,0
6.2653,16,256,48,1,1,1,0,1,0,0,4,0,1,0
6.56386,14,196,48,1,1,1,0,1,0,1,12,0,1,0
7.31986,33,1089,50,1,0,1,1,1,0,1,12,0,1,0
6.80239,30,900,49,0,0,0,1,1,0,0,14,0,1,0
7.06987,12,144,46,1,1,0,0,1,0,1,12,0,1,0
7.09008,19,361,45,1,0,0,0,1,0,1,9,0,1,0
6.17587,14,196,52,0,0,0,0,1,0,0,12,0,1,0
6.54822,20,400,27,1,1,0,1,1,0,1,12,0,1,0
6.7511,31,961,41,1,1,0,1,1,0,1,10,0,1,0
7.27932,18,324,49,1,1,0,1,1,0,1,12,0,1,0
6.47697,15,225,50,0,0,0,1,1,0,0,14,0,1,0
6.66823,34,1156,51,1,0,0,0,1,0,0,12,0,1,0
6.64639,46,2116,48,1,0,0,1,1,0,0,12,0,1,0
6.3081,25,625,49,1,1,1,1,0,1,0,12,0,0,12
7.09008,10,100,43,1,0,0,1,0,0,1,9,0,1,0
7.31322,22,484,37,0,0,0,1,1,0,1,17,0,1,0
6.47697,9,81,42,0,0,1,1,0,1,0,16,0,0,16
6.16331,28,784,52,1,1,1,0,0,0,0,8,0,1,0
7.04752,40,1600,43,1,0,1,0,1,0,1,10,1,1,0
7.09008,14,196,43,1,0,0,0,1,0,0,12,0,1,0
7.08339,13,169,49,1,1,0,1,1,0,1,11,0,1,0
7.0076,17,289,37,1,1,0,1,1,0,1,11,0,1,0
6.4677,15,225,45,1,1,0,1,0,1,0,12,0,0,12
7.2998,40,1600,46,1,0,0,1,0,0,1,12,0,1,0
7.20786,14,196,49,0,0,0,1,1,0,0,12,0,1,0
6.5582,30,900,51,1,1,0,1,1,0,0,8,0,1,0
6.95655,29,841,49,0,0,1,0,1,0,0,11,0,1,0
6.39693,40,1600,50,1,0,0,1,1,0,1,10,0,1,0
6.85435,18,324,51,0,0,1,1,1,0,0,17,0,1,0
7.20042,27,729,46,1,0,0,1,1,0,0,14,0,1,0
7.40853,13,169,43,1,0,0,0,1,0,1,12,0,1,0
6.85646,35,1225,49,0,1,0,0,1,0,0,12,0,1,0
6.42162,42,1764,37,1,1,0,1,1,0,0,6,0,1,0
7.27932,19,361,45,0,0,0,1,0,1,0,17,0,0,17
6.55536,46,2116,49,1,1,0,1,0,1,0,12,0,0,12
6.68461,9,81,38,0,0,0,0,1,0,1,16,0,1,0
6.7511,34,1156,30,1,1,0,1,1,0,1,12,0,1,0
6.81014,30,900,49,1,1,0,1,1,0,1,12,0,1,0
7.37776,46,2116,50,0,1,0,1,1,0,0,17,0,1,0
5.74939,50,2500,37,1,0,1,1,0,1,0,9,1,0,9
7.14913,16,256,51,0,1,0,0,1,0,0,12,0,1,0
7.20786,35,1225,44,0,0,0,1,1,0,0,16,0,1,0
6.38688,10,100,48,0,0,1,0,0,1,0,12,0,0,12
6.93925,11,121,46,1,0,0,0,1,0,1,14,0,1,0
7.17702,18,324,52,0,0,1,1,1,0,0,17,0,1,0
7.39326,23,529,48,1,0,0,0,1,0,1,12,0,1,0
6.58617,32,1024,52,1,1,0,1,1,0,0,10,0,1,0
7.00307,16,256,49,1,1,0,1,1,0,1,12,0,1,0
6.85646,9,81,50,0,0,0,1,1,0,0,16,0,1,0
7.61874,27,729,47,1,0,1,1,1,0,0,12,0,1,0
6.95655,23,529,42,1,1,1,0,1,0,1,12,0,1,0
6.30992,24,576,49,0,1,1,0,1,0,0,7,0,1,0
6.95177,16,256,49,1,0,1,1,1,0,0,11,0,1,0
6.97261,13,169,47,0,0,1,1,0,0,1,14,1,1,0
7.19669,13,169,39,1,0,0,1,1,0,1,10,0,1,0
6.9256,24,576,48,0,1,0,1,1,0,1,12,0,1,0
7.24423,38,1444,49,1,0,0,1,1,0,1,9,0,1,0
7.42833,16,256,43,0,0,0,1,1,0,1,15,0,1,0
7.13569,32,1024,23,1,0,0,0,1,0,1,12,0,1,0
6.93245,37,1369,51,0,0,1,1,1,0,0,12,0,1,0
7.19669,30,900,49,0,1,0,1,1,0,0,16,0,1,0
7.02554,13,169,46,1,0,0,1,0,0,0,12,0,1,0
5.84932,28,784,47,0,0,0,1,0,1,1,12,0,0,12
6.97261,18,324,49,1,1,1,1,1,0,0,14,0,1,0
6.36819,45,2025,48,1,1,0,1,0,1,1,14,1,0,14
6.95655,14,196,49,1,0,0,1,1,0,1,14,0,1,0
7.5606,39,1521,46,1,1,0,1,1,0,1,8,0,1,0
7.46737,21,441,47,0,0,0,1,1,0,0,14,0,1,0
6.86901,26,676,36,0,0,0,1,0,1,0,12,0,0,12
6.84055,40,1600,47,1,1,0,1,1,0,1,11,0,1,0
6.12687,9,81,48,0,0,1,1,1,0,0,17,0,1,0
7.03439,34,1156,45,0,1,1,1,1,0,1,12,0,1,0
7.18917,20,400,41,0,0,0,0,0,1,1,17,0,0,17
7.40001,13,169,49,1,0,0,1,1,0,1,12,0,1,0
7.31122,14,196,48,1,1,0,1,1,0,1,12,0,1,0
7.79028,29,841,47,0,0,0,0,1,0,0,16,0,1,0
6.80239,11,121,46,1,0,0,1,1,0,0,12,0,1,0
6.71538,28,784,51,1,0,0,0,1,0,0,12,0,1,0
6.7093,40,1600,50,0,0,0,0,1,0,0,12,0,1,0
6.96035,24,576,48,0,1,0,1,1,0,0,12,0,1,0
7.34923,12,144,50,0,0,0,1,1,0,0,16,0,1,0
6.84055,18,324,47,1,0,0,0,0,0,0,13,0,1,0
7.00307,10,100,48,1,1,1,0,1,0,1,10,0,1,0
5.99146,41,1681,50,1,0,0,0,1,0,0,5,0,1,0
7.34666,24,576,36,0,0,0,1,1,0,1,14,0,1,0
6.14204,10,100,49,1,0,1,1,0,1,0,12,1,0,12
6.98101,31,961,49,1,1,0,1,1,0,1,14,0,1,0
6.34564,13,169,48,1,0,1,0,1,0,0,13,0,1,0
6.47697,20,400,51,1,0,1,0,1,0,0,11,0,1,0
6.43455,9,81,49,1,0,0,1,0,0,1,12,1,1,0
6.89366,32,1024,52,1,1,0,1,1,0,1,12,0,1,0
7.18917,23,529,50,0,0,0,0,0,0,0,16,0,1,0
6.85751,8,64,44,1,1,0,0,1,0,1,9,0,1,0
6.75344,9,81,47,1,1,1,0,1,0,1,10,0,1,0
6.55678,11,121,50,0,0,1,0,1,0,0,16,0,1,0
6.82437,17,289,44,0,0,1,1,0,0,1,12,1,1,0
6.57786,7,49,49,0,1,0,1,0,0,0,14,0,1,0
7.24423,11,121,50,0,0,0,1,1,0,0,16,1,1,0
6.85646,10,100,37,0,0,1,0,1,0,0,17,0,1,0
7.37776,39,1521,50,0,0,0,1,1,0,0,12,0,1,0
7.45703,14,196,46,0,1,0,1,1,0,0,17,0,1,0
7.6009,8,64,46,0,0,0,1,1,0,0,16,0,1,0
6.44572,11,121,49,1,0,1,0,1,0,0,12,0,1,0
6.6174,38,1444,49,0,0,0,0,1,0,0,13,0,1,0
6.11147,11,121,51,1,1,1,0,1,0,0,12,0,1,0
6.14204,15,225,50,1,0,1,0,1,0,0,12,0,1,0
7.15462,13,169,49,0,0,0,1,1,0,0,17,0,1,0
6.99485,13,169,49,0,0,1,1,1,0,0,16,0,1,0
7.15851,16,256,51,0,1,0,1,1,0,0,16,0,1,0
7.6009,9,81,48,0,0,0,1,1,0,0,17,0,1,0
7.80588,31,961,45,0,1,0,1,1,0,0,16,0,1,0
7.09008,14,196,49,0,0,0,1,1,0,1,14,0,1,0
7.06048,23,529,46,0,0,1,1,1,0,0,13,0,1,0
7.17012,11,121,51,0,0,0,1,1,0,0,17,0,1,0
7.19519,10,100,49,0,0,1,0,1,0,1,14,0,1,0
7.32647,45,2025,46,1,1,0,1,1,0,0,12,0,1,0
7.09257,17,289,48,1,0,0,1,1,0,1,12,0,1,0
7.02997,13,169,48,1,0,0,1,1,0,1,12,0,1,0
6.72503,14,196,46,0,0,0,1,1,0,0,16,1,1,0
6.02102,12,144,51,1,0,0,1,1,0,0,12,0,1,0
7.18159,14,196,47,1,0,0,1,1,0,1,14,0,1,0
6.55108,9,81,37,0,0,0,1,0,1,1,16,0,0,16
6.76849,12,144,49,0,0,0,0,1,0,1,17,0,1,0
6.52209,7,49,40,0,0,1,0,0,1,0,16,0,0,16
6.22654,19,361,38,0,0,0,1,0,1,0,14,0,0,14
7.48324,33,1089,47,0,1,0,1,1,0,0,15,0,1,0
7.30317,9,81,46,0,1,0,1,1,0,0,16,0,1,0
6.94409,22,484,50,1,1,0,0,1,0,1,12,0,1,0
6.46303,20,400,48,0,0,1,1,0,1,0,12,0,0,12
6.76388,41,1681,44,0,1,1,1,1,0,0,16,0,1,0
6.68461,37,1369,49,0,0,0,0,1,0,0,12,0,1,0
6.92756,13,169,50,1,0,1,1,1,0,0,12,0,1,0
7.27932,8,64,49,0,0,0,1,1,0,0,17,0,1,0
6.90776,36,1296,48,0,0,0,1,1,0,1,14,0,1,0
7.15305,12,144,49,0,0,1,0,1,0,1,14,0,1,0
8.04719,31,961,49,0,0,1,1,1,0,0,11,0,1,0
7.24423,8,64,48,0,0,1,1,0,0,0,16,0,1,0
6.21461,46,2116,51,1,0,0,0,1,0,0,10,0,1,0
6.98379,13,169,48,1,1,0,0,1,0,1,14,0,1,0
7.15929,25,625,51,1,1,0,1,1,0,0,12,0,1,0
6.36303,14,196,48,1,0,0,1,0,1,0,12,0,0,12
6.91274,14,196,50,1,0,0,1,1,0,1,12,0,1,0
6.22654,9,81,50,1,0,0,1,1,0,0,11,0,1,0
6.62007,11,121,51,1,1,1,1,1,0,1,12,0,1,0
6.97541,10,100,48,1,0,1,0,1,0,0,12,0,1,0
6.57786,12,144,49,0,0,0,1,1,0,0,14,0,1,0
6.68461,8,64,50,0,0,0,1,1,0,0,12,0,1,0
6.55108,16,256,50,1,0,0,0,1,0,0,12,0,1,0
6.91968,12,144,45,1,1,0,0,1,0,0,13,0,1,0
6.71296,9,81,51,0,0,1,1,0,1,0,16,0,0,16
6.99393,11,121,46,1,1,0,1,1,0,0,12,0,1,0
7.28619,14,196,38,0,0,0,1,1,0,1,17,0,1,0
6.96224,8,64,51,1,0,0,1,0,0,0,12,0,1,0
7.16858,13,169,47,1,1,0,0,1,0,0,12,0,1,0
6.65286,11,121,50,1,0,0,1,1,0,0,12,0,1,0
7.02731,11,121,49,0,0,0,1,1,0,0,16,0,1,0
5.99146,20,400,30,1,1,1,0,1,0,0,10,0,1,0
7.17931,18,324,48,1,0,0,1,1,0,1,12,1,1,0
6.80239,7,49,50,0,0,1,1,1,0,0,16,0,1,0
7.17012,37,1369,46,1,0,0,1,1,0,1,12,0,1,0
6.87005,9,81,44,1,1,0,1,1,0,1,12,0,1,0
6.85646,40,1600,46,1,1,0,1,1,0,1,8,0,1,0
7.06133,12,144,47,1,1,0,1,1,0,1,13,0,1,0
5.67675,16,256,40,1,0,1,0,0,0,0,8,1,1,0
7.04752,13,169,47,1,1,0,1,1,0,1,12,0,1,0
6.37161,7,49,50,0,0,0,1,0,1,0,12,0,0,12
